trait_order,trait,pathway_order,pathway
1,Hanging & Pulling Above the Bar,1,Passive / Active Hang
1,Hanging & Pulling Above the Bar,2,Vertical Pull
1,Hanging & Pulling Above the Bar,3,Horizontal Pull
1,Hanging & Pulling Above the Bar,4,Pull-to-Press Transition
2,Lever & Straight-Arm Body Control,1,Front Lever Line
2,Lever & Straight-Arm Body Control,2,Planche Line
2,Lever & Straight-Arm Body Control,3,Side Lever Line
3,Pressing Strength,1,Horizontal Press
3,Pressing Strength,2,Dip Press
3,Pressing Strength,3,Vertical Press
3,Pressing Strength,4,Bent-Arm to Straight-Arm Press
4,Hand Balancing & Inversion,1,Bent-Arm Balances
4,Hand Balancing & Inversion,2,Static Inversion
4,Hand Balancing & Inversion,3,Shaped Handstands
4,Hand Balancing & Inversion,4,Press Entries
5,Loaded Lower Body Strength,1,Bilateral Squat
5,Loaded Lower Body Strength,2,Single-Leg Squat
5,Loaded Lower Body Strength,3,Lateral / Mobility Squat
5,Loaded Lower Body Strength,4,Hip Hinge
5,Loaded Lower Body Strength,5,Posterior Chain (knee)
5,Loaded Lower Body Strength,6,Anterior Chain (knee)
6,Bounciness & Elastic Power,1,Vertical Jump
6,Bounciness & Elastic Power,2,Horizontal Jump
6,Bounciness & Elastic Power,3,Rotational / Kick Power
6,Bounciness & Elastic Power,4,Hand-Reactive Spring
7,Foundational Resting Positions,1,Squat Position
7,Foundational Resting Positions,2,Stance Positions
7,Foundational Resting Positions,3,Hip Opening (sagittal)
7,Foundational Resting Positions,4,Hip Opening (frontal)
7,Foundational Resting Positions,5,Spinal Extension
8,Spinal & Hip Articulation,1,Spinal Waves
8,Spinal & Hip Articulation,2,Bridge Articulation
8,Spinal & Hip Articulation,3,Hip Articulation
8,Spinal & Hip Articulation,4,Rotational Articulation
9,Inverted & Rotational Locomotion,1,Rolls
9,Inverted & Rotational Locomotion,2,Cartwheel Family
9,Inverted & Rotational Locomotion,3,Flips & Handsprings
9,Inverted & Rotational Locomotion,4,Capoeira Inversions
10,Ground Locomotion,1,Quadrupedal Forward
10,Ground Locomotion,2,Lateral / Multi-directional
10,Ground Locomotion,3,Rolling Locomotion
11,Hand-Eye Coordination & Object Manipulation,1,Juggling
11,Hand-Eye Coordination & Object Manipulation,2,Object Manipulation
11,Hand-Eye Coordination & Object Manipulation,3,Reactive Catching
11,Hand-Eye Coordination & Object Manipulation,4,Foot-Eye Cross
12,"Rhythm, Flow & Expression",1,Rhythmic Foundations
12,"Rhythm, Flow & Expression",2,Floor Flow
12,"Rhythm, Flow & Expression",3,Dance / Musical Movement

name,trait,pathway,level,is_anchor,class_types,regresses_from,progresses_to,equipment,notes,video_url
Bridge Kickover,Spinal & Hip Articulation,Bridge Articulation,6,FALSE,Full,Bridge Walk-Up,Back Walkover,Mat,Kick over from bridge to stand.,
Back Walkover,Spinal & Hip Articulation,Bridge Articulation,7,FALSE,Full,Bridge Kickover,Tick-Tock,Mat,Continuous backward walkover.,
Tick-Tock,Spinal & Hip Articulation,Bridge Articulation,9,FALSE,Full,Back Walkover,,Mat,Walkover one direction then the other.,
Hip CARs,Spinal & Hip Articulation,Hip Articulation,2,FALSE,"Lower, Full",,90/90 Transition,None,Controlled hip circles.,
90/90 Transition,Spinal & Hip Articulation,Hip Articulation,4,FALSE,"Lower, Full",Hip CARs,Frog to Pike,Mat,Move between 90/90 positions.,
Frog to Pike,Spinal & Hip Articulation,Hip Articulation,5,FALSE,Full,90/90 Transition,Reversao,Mat,Transition frog to pike position.,
Reversao,Spinal & Hip Articulation,Hip Articulation,7,FALSE,Full,Frog to Pike,Free-Flowing Floor,Mat,Capoeira inverted hip articulation.,
Free-Flowing Floor,Spinal & Hip Articulation,Hip Articulation,9,FALSE,Full,Reversao,,Mat,Improvised floor articulation flow.,
Thread the Needle,Spinal & Hip Articulation,Rotational Articulation,2,FALSE,Full,,Skin the Cat,Mat,Quadruped rotational stretch.,
Skin the Cat,Spinal & Hip Articulation,Rotational Articulation,4,FALSE,Upper,Thread the Needle,Meia Lua de Compasso,Rings,Rotate through shoulder extension.,
Meia Lua de Compasso,Spinal & Hip Articulation,Rotational Articulation,6,FALSE,Full,Skin the Cat,Au Sem Mão,None,Capoeira spinning kick.,
Au Sem Mão,Spinal & Hip Articulation,Rotational Articulation,8,FALSE,Full,Meia Lua de Compasso,Improvised Capoeira,Mat,Capoeira no-hands cartwheel.,
Improvised Capoeira,Spinal & Hip Articulation,Rotational Articulation,9,FALSE,Full,Au Sem Mão,,None,Free capoeira flow.,
Forward Roll,Inverted & Rotational Locomotion,Rolls,1,FALSE,Full,,Backward Roll,Mat,Foundation tumbling movement.,
Backward Roll,Inverted & Rotational Locomotion,Rolls,2,FALSE,Full,Forward Roll,Shoulder Roll,Mat,Roll backwards over shoulder.,
Shoulder Roll,Inverted & Rotational Locomotion,Rolls,4,FALSE,Full,Backward Roll,Dive Roll,Mat,Diagonal roll across the shoulder.,
Dive Roll,Inverted & Rotational Locomotion,Rolls,6,FALSE,Full,Shoulder Roll,Aerial Roll,Mat,Dive then roll out.,
Aerial Roll,Inverted & Rotational Locomotion,Rolls,8,FALSE,Full,Dive Roll,,Mat,Roll after airborne phase.,
Cartwheel,Inverted & Rotational Locomotion,Cartwheel Family,3,FALSE,Full,,One-Hand Cartwheel,Mat,Foundation rotational locomotion.,
One-Hand Cartwheel,Inverted & Rotational Locomotion,Cartwheel Family,5,FALSE,Full,Cartwheel,Aerial (no hands),Mat,Cartwheel using only one hand.,
Roundoff,Inverted & Rotational Locomotion,Cartwheel Family,5,FALSE,Full,Cartwheel,Roundoff → BHS,Mat,Cartwheel ending feet together.,
Aerial (no hands),Inverted & Rotational Locomotion,Cartwheel Family,8,FALSE,Full,One-Hand Cartwheel,,Mat,Same as bounciness Aerial.,
Roundoff → BHS,Inverted & Rotational Locomotion,Cartwheel Family,8,FALSE,Full,Roundoff,,Mat,Roundoff connected to back handspring.,
Bridge Kickover,Inverted & Rotational Locomotion,Flips & Handsprings,5,FALSE,Full,,Back Walkover,Mat,Same as articulation pathway.,
Back Walkover,Inverted & Rotational Locomotion,Flips & Handsprings,6,FALSE,Full,Bridge Kickover,Back Handspring,Mat,Continuous backward walkover.,
Front Handspring,Inverted & Rotational Locomotion,Flips & Handsprings,8,FALSE,Full,,Back Tuck,Mat,Forward flipping handspring.,
Back Tuck,Inverted & Rotational Locomotion,Flips & Handsprings,10,FALSE,Full,Front Handspring,,Mat,Standing back tuck.,
Au,Inverted & Rotational Locomotion,Capoeira Inversions,4,FALSE,Full,,Au Batido,Mat,Capoeira cartwheel.,
Au Batido,Inverted & Rotational Locomotion,Capoeira Inversions,6,FALSE,Full,Au,Macaco,Mat,Stalled cartwheel position.,
Macaco,Inverted & Rotational Locomotion,Capoeira Inversions,7,FALSE,Full,Au Batido,Macaco em Pé,Mat,Capoeira back handspring from crouch.,
Macaco em Pé,Inverted & Rotational Locomotion,Capoeira Inversions,9,FALSE,Full,Macaco,,Mat,Standing macaco no crouch start.,
Bear Walk,Ground Locomotion,Quadrupedal Forward,2,FALSE,Full,,Crab Walk,Floor,Forward locomotion on hands and feet.,
Crab Walk,Ground Locomotion,Quadrupedal Forward,3,FALSE,Full,Bear Walk,Lizard Crawl,Floor,Belly up locomotion.,
Lizard Crawl,Ground Locomotion,Quadrupedal Forward,5,TRUE,Full,Crab Walk,Low Lizard,Floor,Anchor exercise. Low contralateral crawl.,
Low Lizard,Ground Locomotion,Quadrupedal Forward,7,FALSE,Full,Lizard Crawl,Long-Distance Lizard,Floor,Very low to ground extreme range.,
Long-Distance Lizard,Ground Locomotion,Quadrupedal Forward,8,FALSE,Full,Low Lizard,,Floor,Conditioning at distance.,
Lateral Bear,Ground Locomotion,Lateral / Multi-directional,2,FALSE,Full,,Monkey Walk,Floor,Sideways bear crawl.,
Monkey Walk,Ground Locomotion,Lateral / Multi-directional,4,FALSE,Full,Lateral Bear,Spider Crawl,Floor,Hop on hands feet between.,
Spider Crawl,Ground Locomotion,Lateral / Multi-directional,5,FALSE,Full,Monkey Walk,Capoeira Negativa,Floor,Wide diagonal crawl.,
Capoeira Negativa,Ground Locomotion,Lateral / Multi-directional,6,FALSE,Full,Spider Crawl,Negativa → Au,Floor,Capoeira ground escape position.,
Negativa → Au,Ground Locomotion,Lateral / Multi-directional,8,FALSE,Full,Capoeira Negativa,,Floor,Flow negativa into au.,
Log Roll,Ground Locomotion,Rolling Locomotion,1,FALSE,Full,,Forward Roll,Mat,Side-to-side body roll.,
Forward Roll,Ground Locomotion,Rolling Locomotion,2,FALSE,Full,Log Roll,Shoulder Roll Travel,Mat,Same as rolls pathway.,
Shoulder Roll Travel,Ground Locomotion,Rolling Locomotion,5,FALSE,Full,Forward Roll,Continuous Rolling Flow,Mat,Continuous shoulder rolling.,
Continuous Rolling Flow,Ground Locomotion,Rolling Locomotion,7,FALSE,Full,Shoulder Roll Travel,,Mat,Improvised rolling movement.,
1-Ball Toss,Hand-Eye Coordination & Object Manipulation,Juggling,1,FALSE,Full,,2-Ball Patterns,Juggling balls,Foundation tossing.,
2-Ball Patterns,Hand-Eye Coordination & Object Manipulation,Juggling,2,FALSE,Full,1-Ball Toss,3-Ball Cascade,Juggling balls,Two-ball columns shower.,
3-Ball Cascade,Hand-Eye Coordination & Object Manipulation,Juggling,4,FALSE,Full,2-Ball Patterns,4-Ball Pattern,Juggling balls,Foundational juggling pattern.,
4-Ball Pattern,Hand-Eye Coordination & Object Manipulation,Juggling,7,FALSE,Full,3-Ball Cascade,5-Ball + Tricks,Juggling balls,Fountain pattern with 4 balls.,
5-Ball + Tricks,Hand-Eye Coordination & Object Manipulation,Juggling,9,FALSE,Full,4-Ball Pattern,,Juggling balls,Advanced juggling.,
Single Stick Holds,Hand-Eye Coordination & Object Manipulation,Object Manipulation,1,FALSE,Full,,Stick Spins (1 hand),Staff or stick,Foundation grip and balance.,
Stick Spins (1 hand),Hand-Eye Coordination & Object Manipulation,Object Manipulation,3,FALSE,Full,Single Stick Holds,Staff Spinning (basic),Staff or stick,Single-handed spinning.,
Staff Spinning (basic),Hand-Eye Coordination & Object Manipulation,Object Manipulation,5,FALSE,Full,Stick Spins (1 hand),Staff Spinning (adv),Staff,Two-handed basic patterns.,
Staff Spinning (adv),Hand-Eye Coordination & Object Manipulation,Object Manipulation,7,FALSE,Full,Staff Spinning (basic),Combined Patterns,Staff,Throws and complex transitions.,
Combined Patterns,Hand-Eye Coordination & Object Manipulation,Object Manipulation,9,FALSE,Full,Staff Spinning (adv),,Staff,Combined staff and body work.,
Wall Ball Bounce,Hand-Eye Coordination & Object Manipulation,Reactive Catching,2,FALSE,Full,,Tennis Ball Wall,Wall ball,Foundation reactive catching.,
Tennis Ball Wall,Hand-Eye Coordination & Object Manipulation,Reactive Catching,3,FALSE,Full,Wall Ball Bounce,Zen Archer Game,Tennis ball,Single-hand wall catch.,
Zen Archer Game,Hand-Eye Coordination & Object Manipulation,Reactive Catching,4,FALSE,Full,Tennis Ball Wall,Two-Ball Reactive,Tennis balls,Partner reactive game.,
Two-Ball Reactive,Hand-Eye Coordination & Object Manipulation,Reactive Catching,6,FALSE,Full,Zen Archer Game,Multi-object Reactive,Tennis balls,Two-ball reactive catching.,
Multi-object Reactive,Hand-Eye Coordination & Object Manipulation,Reactive Catching,8,FALSE,Full,Two-Ball Reactive,,Multiple balls,Multi-object reactive drills.,
Soccer Ball Toe Taps,Hand-Eye Coordination & Object Manipulation,Foot-Eye Cross,2,FALSE,Full,,Soccer Ball Juggle,Soccer ball,Rapid toe taps.,
Soccer Ball Juggle,Hand-Eye Coordination & Object Manipulation,Foot-Eye Cross,4,FALSE,Full,Soccer Ball Toe Taps,Combined Hand-Foot,Soccer ball,Continuous juggling with feet.,
Combined Hand-Foot,Hand-Eye Coordination & Object Manipulation,Foot-Eye Cross,6,FALSE,Full,Soccer Ball Juggle,,Soccer ball or any ball,Mix hands and feet.,
Ginga,"Rhythm, Flow & Expression",Rhythmic Foundations,2,FALSE,Full,,Step Patterns,None,Foundation capoeira rocking step.,
Step Patterns,"Rhythm, Flow & Expression",Rhythmic Foundations,3,FALSE,Full,Ginga,Ginga w/ Kicks,None,Various rhythmic step patterns.,
Ginga w/ Kicks,"Rhythm, Flow & Expression",Rhythmic Foundations,5,FALSE,Full,Step Patterns,Capoeira Sequences,None,Ginga combined with kicks.,
Capoeira Sequences,"Rhythm, Flow & Expression",Rhythmic Foundations,7,FALSE,Full,Ginga w/ Kicks,Improvised Jogo,None,Choreographed capoeira sequences.,
Improvised Jogo,"Rhythm, Flow & Expression",Rhythmic Foundations,9,FALSE,Full,Capoeira Sequences,,None,Free capoeira flow with partner.,
Roll-to-Stand,"Rhythm, Flow & Expression",Floor Flow,2,FALSE,Full,,2–3 Move Links,Mat,Foundation flow transition.,
2–3 Move Links,"Rhythm, Flow & Expression",Floor Flow,4,FALSE,Full,Roll-to-Stand,Acro Flow Sequences,Mat,Link 2-3 movements together.,
Acro Flow Sequences,"Rhythm, Flow & Expression",Floor Flow,6,FALSE,Full,2–3 Move Links,Improvised Flow,Mat,Connected acrobatic sequences.,
Improvised Flow,"Rhythm, Flow & Expression",Floor Flow,8,FALSE,Full,Acro Flow Sequences,Performance Flow,Mat,Free movement improvisation.,
Performance Flow,"Rhythm, Flow & Expression",Floor Flow,10,FALSE,Full,Improvised Flow,,Mat,Performance-level expression.,
Following Music,"Rhythm, Flow & Expression",Dance / Musical Movement,1,FALSE,Full,,Choreographed Phrases,None,Move in time with music.,
Choreographed Phrases,"Rhythm, Flow & Expression",Dance / Musical Movement,3,FALSE,Full,Following Music,Improvised to Music,None,Learn and perform phrases.,
Improvised to Music,"Rhythm, Flow & Expression",Dance / Musical Movement,6,FALSE,Full,Choreographed Phrases,Partnered Improv,None,Free improvisation to music.,
Partnered Improv,"Rhythm, Flow & Expression",Dance / Musical Movement,8,FALSE,Full,Improvised to Music,Performance,None,Improvise with another mover.,
Performance,"Rhythm, Flow & Expression",Dance / Musical Movement,10,FALSE,Full,Partnered Improv,,None,Public performance level.,
